meadery,mead,flavors__tasting_notes
Brother's Drake Meadery,Battle Axe,"A sweet cranberry melomel infused with vanilla and juniper berries. Unapologetically tart upfront like cranberries with a smooth finish that is sweet and hints at the vanilla and juniper infusion."
Brother's Drake Meadery,Blueberry Yum Yum,Blueberry
Brother's Drake Meadery,California Gold,"Dry traditional with Mendocino Forest honey aged on American oak"
Brother's Drake Meadery,Honey Oak,"Ohio wildflower honey traditional mead aged on French and American Oak. Pronounced honey nose. Flavors of caramel and woodiness are enhance by the oak."
Brother's Drake Meadery,Blackjack,"Crafted from locally sourced raw honey and black currant, Blackjack is a 21 on flavor. Our tart and earthy berry brew has full, smooth body from honey. The finish is slightly sweet. Game on."
Brother's Drake Meadery,Passion,"A blend of honey and passion fruit."
Brother's Drake Meadery,Julien's Pyment,"A genius is born! Our mead master, Julian, has taken bold first steps into grape fermentation with this tasty riff on the pyment style - honey blended with Concord grapes and blueberries: Sweet"
Brother's Drake Meadery,Gravenstein,"A dry slightly carbonated and sour cyser from Gravenstein varietal apples from Sonoma and wildflower honey from Mendocino."
Brother's Drake Meadery,Wild Ohio,"Wild Ohio is mead in its most traditional form. Just local raw wildflower honey, water and yeast are blended and fermented. Sugar removed during fermentation leaves only flavors of honey wine with a semi-dry finish."
Brother's Drake Meadery,Bourban Apple Pie,"Our apple pie mead aged for 12 months in Middle West Bourbon Barrels : Sweet"
Brother's Drake Meadery,Orange Blossom,"Traditional dry mead from citrus tree honey : Dry"
Crafted Meadery,Dragon Heart,"apple cider, cherry and raspberry. Wildflower honey"
Crafted Meadery,Stranger Bings,"Bing Cherry, Graham Cracker Crust, Vanilla"
Crafted Meadery,The Dispear,"Sweet Pear Juice, Honey and Fresh Cardamom Spice"
Crafted Meadery,Mystic Currants,"Tart dark fruit with balanced sweetness. Piney juniper berry aroma with similar notes that are well incorporated on finish and throughout."
Valley Vineyards,Honey Mead,"Traditional with clover honey."
Dansk Mjød,Viking Blod,"Nordic honey wine with hibicus and hops added"
Silver Hand Meadery,Colonial Williamsburg Mead,"barrel-aged, Virginia wildflower honey"
Feisty Meadery,Mesquite Blossom,"Mesquite trees native to the southwest produce long pods of fragrant yellow blossoms. Bees transform the nectar into mesquite honey which gives this mead a floral aroma with hints of pear and peach."
Zen Bee Meadery,Blu On Black,"Bochet with blueberry, blackberry, and blackcurrant."
Dutch Creek Winery,Royal Affair,"A tantalizing tongue-tingling combination of tea and citrus, this honey wine starts with fresh brewed Earl Grey tea and is combined with local honey to create a very unique honey wine that has the fruity and floral smell of bergamot and the zing of fresh tea."
Brother's Drake Meadery,2023 Peach Rush,"Fresh peaches fermented with Ohio wildflower honey. Minimal filtering preserves peach flavor. Semi-sweet."
Brother's Drake Meadery,2023 Red Eye,"Put honey in your coffee. Wake up."
Zen Bee Meadery,BB Bing,"Mead with Blackberries and Sweet Cherries"
Zen Bee Meadery,Blackbird Chai,"Chai mead with Blackberries"
Brother's Drake Meadery,Afterburner,"Cranberry honey juice pops and slow burns with smokey chipotle and zesty orange bite."
Brother's Drake Meadery,Strong Arm,"...house cyser of blended Ohio apples and raw wildflower honey aged in whiskey barrels from Middle West Spirits"
Brother's Drake Meadery,Polly the Younger,"...It's a young apple wine, unassuming, with all the vibrant flavors of fresh pressed apples and raw wildflower honey."
